ORGANIZATION_NAME,SHELTER_ADDRESS,SECTOR,SERVICE_USER_COUNT,CAPACITY_ACTUAL_BED,UNOCCUPIED_BEDS,LAT,LON,requires_id,harm_reduction,accepts_walk_in,phone,hours,intake_preparation,bypass_pathway
Eva's Initiatives,25 Canterbury Pl,Youth,33,33,0,43.6512,-79.4501,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fife House Foundation,70 Denison Ave,Mixed Adult,5,5,0,43.822,-79.5583,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fife House Foundation,490 Sherbourne St,Mixed Adult,9,10,1,43.6997,-79.5857,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,386 Dundas St E,Women,36,37,1,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,512 Jarvis St,Women,23,26,3,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,1059 College Street,Women,36,36,0,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,1161 Caledonia Rd,Mixed Adult,68,68,0,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Friends of Ruby,,Youth,3,4,1,43.6468,-79.3574,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Friends of Ruby,,Youth,27,27,0,43.5969,-79.5046,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Good Shepherd Ministries,412 Queen St E,Men,21,25,4,43.6523,-79.3682,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Good Shepherd Ministries,412 Queen St E,Men,35,35,0,43.6523,-79.3682,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Good Shepherd Ministries,35 Sydenham St,Men,5,5,0,43.6523,-79.3682,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,702 Kennedy Rd,Women,61,61,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Mixed Adult,47,48,1,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Men,20,20,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Women,38,38,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Men,40,40,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,4117 Lawrence Ave E,Mixed Adult,88,88,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,5800 Yonge St,Men,130,134,4,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,5800 Yonge St,Women,98,107,9,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,,Mixed Adult,19,20,1,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,101 Placer Ct,Mixed Adult,85,85,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,3576 St Clair Ave E,Mixed Adult,49,49,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Horizon for Youth,422 Gilbert Ave,Youth,44,45,1,43.759,-79.3384,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Kennedy House Youth Services,1076 Pape Ave,Youth,30,30,0,43.6473,-79.3172,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
La Passerelle Integration et Development Economique,179 Gerrard St. East,Mixed Adult,34,50,16,43.8005,-79.5969,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Matthew House Refugee Services-Toronto,981 Dundas St W,Families,3,8,5,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Matthew House Refugee Services-Toronto,30 Eunice Rd,Families,7,13,6,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Na-Me-Res (Native Men's Residence),14 Vaughan Rd,Men,52,54,2,43.7995,-79.2649,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Na-Me-Res (Native Men's Residence),26 Vaughan Rd,Men,15,17,2,43.6785,-79.5254,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Native Child & Family Services Toronto,558 Bathurst St,Youth,10,12,2,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Native Child & Family Services Toronto,111 Spadina Rd,Youth,14,14,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Society of St.Vincent De Paul,126 Pape Ave,Women,21,21,0,43.8389,-79.4384,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Society of St.Vincent De Paul,60 Newcastle St,Women,29,29,0,43.6141,-79.5536,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Society of St.Vincent De Paul,70 Gerrard St E,Women,39,39,0,43.8103,-79.3102,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Society of St.Vincent De Paul,3410 Bayview Ave,Women,30,30,0,43.7999,-79.2497,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
St. Felix Social Ministries Outreach,629 Adelaide St W,Mixed Adult,50,50,0,43.7294,-79.1329,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Street Haven At The Crossroads,87 Pembroke St,Women,30,30,0,43.6884,-79.335,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The MUC Shelter Corporation,101 Ontario St,Mixed Adult,85,93,8,43.8056,-79.3031,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Salvation Army of Canada,2808 Dundas St W,Women,86,86,0,43.652,-79.382,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Salvation Army of Canada,107 Jarvis St,Men,78,78,0,43.652,-79.382,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Salvation Army of Canada,135 Sherbourne St,Men,283,283,0,43.652,-79.382,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Salvation Army of Canada,29A Leslie St,Men,52,52,0,43.652,-79.382,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Salvation Army of Canada,2671 Islington Ave,Men,46,46,0,43.652,-79.382,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Salvation Army of Canada,2671 Islington Ave,Women,37,37,0,43.652,-79.382,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
The Scott Mission Inc.,346 Spadina Ave.,Men,71,71,0,43.6521,-79.3681,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Turning Point Youth Services,95 Wellesley St E,Youth,35,35,0,43.639,-79.428,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Women's Hostels Inc.,,Women,12,12,0,43.814,-79.3229,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YMCA of Greater Toronto,7 Vanauley St,Youth,40,40,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YMCA of Greater Toronto,21 Walmer Rd,Youth,25,25,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YWCA Toronto,80 Woodlawn Ave E,Women,31,31,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YWCA Toronto,80 Woodlawn Ave E,Youth,31,31,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YWCA Toronto,348 Davenport Road,Women,39,40,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YWCA Toronto,348 Davenport Road,Youth,27,27,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Youth Without Shelter,6 Warrendale Ct,Youth,33,33,0,43.7732,-79.578,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Youth Without Shelter,6 Warrendale Ct,Youth,20,20,0,43.6493,-79.4611,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YouthLink,747 Warden Ave,Youth,7,8,1,43.6107,-79.4883,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
YouthLink,747 Warden Ave,Youth,32,35,3,43.6163,-79.4666,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
COSTI Immigrant Services,100 Lippincott St,Mixed Adult,7,8,1,43.703,-79.417,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Canadian Mental Health Association - Toronto Branch,213 Carlton Street,Mixed Adult,9,10,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Canadian Mental Health Association - Toronto Branch,213 Carlton Street,Mixed Adult,14,15,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Christie Ossington Neighbourhood Centre,973 Lansdowne Ave,Men,41,41,0,43.7553,-79.4249,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Christie Ossington Neighbourhood Centre,850 Bloor St W,Men,30,30,0,43.6862,-79.4994,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
"Christie Refugee Welcome Centre, Inc.",,Youth,9,12,3,43.6594,-79.1504,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,38 Bathurst St,Men,65,68,3,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,38 Bathurst St,Men,48,48,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,76 Church St,Men,53,53,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,705 Progress Ave,Men,100,100,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,3306 Kingston Rd,Mixed Adult,92,93,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,731 Runnymede Rd,Men,62,62,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,54,82,28,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,121,121,0,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,22,22,0,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,339 George St,Men,102,102,0,43.6532,-79.3832,False,True,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,129 Peter St,Mixed Adult,34,35,1,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
City of Toronto,674 Dundas St W,Women,87,87,0,43.6532,-79.3832,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Cornerstone Place,616 Vaughan Rd,Men,28,28,0,43.6498,-79.3801,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,18 Fourteenth Street,Youth,62,62,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,20 Gerrard St E,Youth,1,2,1,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,158 Madison Ave.,Youth,10,10,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,20 Gerrard St E,Youth,93,94,1,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,20 Gerrard St E,Youth,9,9,0,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Covenant House Toronto,21 McGill St,Youth,27,28,1,43.6431,-79.3927,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Dixon Hall,2714 Danforth Ave,Mixed Adult,61,61,0,43.697,-79.5432,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Eva's Initiatives,60 Brant St,Youth,49,50,1,43.6512,-79.4501,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Eva's Initiatives,360 Lesmill Rd,Youth,39,40,1,43.6512,-79.4501,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Eva's Initiatives,25 Canterbury Pl,Youth,33,33,0,43.6512,-79.4501,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fife House Foundation,70 Denison Ave,Mixed Adult,5,5,0,43.7585,-79.3076,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fife House Foundation,490 Sherbourne St,Mixed Adult,9,10,1,43.6345,-79.25,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,386 Dundas St E,Women,36,37,1,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,512 Jarvis St,Women,23,26,3,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,1059 College Street,Women,36,36,0,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Fred Victor Centre,1161 Caledonia Rd,Mixed Adult,68,68,0,43.6548,-79.3734,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Friends of Ruby,,Youth,3,4,1,43.6325,-79.4179,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Friends of Ruby,,Youth,26,27,1,43.8473,-79.2928,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Good Shepherd Ministries,412 Queen St E,Men,24,25,1,43.6523,-79.3682,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Good Shepherd Ministries,412 Queen St E,Men,35,35,0,43.6523,-79.3682,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Good Shepherd Ministries,35 Sydenham St,Men,5,5,0,43.6523,-79.3682,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,702 Kennedy Rd,Women,61,61,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Mixed Adult,47,48,1,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Men,20,20,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Women,38,38,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,545 Lake Shore Blvd W,Men,40,40,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,4117 Lawrence Ave E,Mixed Adult,88,88,0,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,5800 Yonge St,Men,130,134,4,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,5800 Yonge St,Women,98,107,9,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
Homes First Society,,Mixed Adult,19,20,1,43.651,-79.376,False,False,True,211,24/7,Arrive before 8 PM. Ask for an intake worker at the front desk.,"If turned away, call Central Intake at 416-338-4766."
