organization_name,address,lat,lon,service_type,bed_count,phone,service_description,accepts_walk_in,requires_id,harm_reduction,bypass_pathway,intake_preparation
Parkdale Queen West CHC,"168 Bathurst St, Toronto",43.6456,-79.4036,Outpatient Counselling,0,416-703-8480,Harm reduction and primary health for marginalized communities.,True,False,True,No appointment needed for harm reduction services.,ID not required. Ask for harm reduction nurse directly.
Na-Me-Res,"75 Sherbourne St, Toronto",43.6537,-79.3726,Crisis Stabilization Unit,18,416-652-0334,Indigenous men's shelter and mental health crisis support.,True,False,True,Primarily serves Indigenous men. Others referred to other services.,Cultural safety practices in place. Smudging available.
Anishnawbe Health Toronto,"225 Queen St E, Toronto",43.6513,-79.3728,Outpatient Counselling,0,416-360-0486,Holistic health services for Indigenous peoples. Addiction support.,True,False,True,Open to all Indigenous peoples regardless of status.,Traditional healing alongside clinical services.
Sanguen Health Centre,"67 Queen St N, Waterloo",43.6512,-79.3719,Withdrawal Management,20,519-743-4114,Community health and addiction services.,True,False,True,"If no beds, refer to CAMH or St. Joseph's.",Bring any medications. Intake by nurse practitioner.
Christie Ossington CHC,"670 Bloor St W, Toronto",43.664,-79.4216,Outpatient Counselling,0,416-539-9901,Harm reduction and community mental health services.,True,False,True,Drop-in harm reduction daily 9 AM - 4 PM.,No ID required. Naloxone available at reception.
Central Toronto Community Health,"10 Alcorn Ave, Toronto",43.6848,-79.3948,Outpatient Counselling,0,416-922-3159,Mental health and addiction counselling.,True,False,True,Call for appointment. Long waitlist for therapy — ask for drop-in.,Assessment first visit. Sliding scale fees if applicable.
George Street Revitalization,"134 George St, Toronto",43.6568,-79.3695,Crisis Stabilization Unit,30,416-392-6693,Comprehensive men's shelter with addiction and mental health services.,True,False,True,"If crisis beds full, ER at St. Michael's Hospital is 5 min walk.",Tell intake if you are in acute withdrawal — priority placement.
Sprott House,"1110 Lawrence Ave W, North York",43.721,-79.462,Long-Term Residential Care,22,416-249-4149,Recovery home for adults with addiction.,False,True,True,Wait period can be 2-4 weeks. Ask about interim housing.,Interview required. Bring 2 forms of ID.
The Jean Tweed Centre,"215 Governors Rd, Dundas",43.6482,-79.431,Long-Term Residential Care,28,905-627-9777,Women's addiction recovery. Residential and day treatment.,False,False,True,Women and non-binary. Childcare available for mothers.,Children can stay with mothers during treatment.
Osgoode Refuge,"175 Spadina Ave, Toronto",43.6453,-79.3974,Outpatient Counselling,0,416-504-5782,"Harm reduction, counselling, and peer support.",True,False,True,"Walk-in harm reduction. Naloxone, clean supplies available.",No ID needed. Ask for peer support worker specifically.
Crossroads Community Centre,"72 Pemberton Ave, North York",43.788,-79.415,Outpatient Counselling,0,416-226-3344,North York addiction and mental health counselling.,True,False,True,Walk-in hours Thursdays. Call for regular appointments.,Assessment appointment lasts 1 hour.
Scarborough Mental Health,"2425 Eglinton Ave E, Scarborough",43.7301,-79.265,Crisis Stabilization Unit,14,416-431-8200,Mental health crisis support for Scarborough.,True,False,True,"If crisis beds full, Scarborough General ER is adjacent.",Walk-in triage. Wait times can be 2-4 hours for non-acute cases.
Etobicoke Alcohol & Drug Services,"379 The West Mall, Etobicoke",43.6505,-79.5445,Outpatient Counselling,0,416-979-0303,Outpatient addiction counselling and day programs.,True,False,True,Call for availability. Walk-in assessment Wednesdays.,Intake assessment is free. Insurance or OHIP may cover treatment.
Reconnect Mental Health,"2175 Sheppard Ave E, North York",43.7719,-79.3322,Long-Term Residential Care,36,416-479-0650,Community mental health residential support.,False,True,False,Long waitlist. Ask about supported housing alternatives.,OHIP required for residential services.
Queen Street Recovery,"900 Queen St W, Toronto",43.6432,-79.4183,Withdrawal Management,18,416-535-7501,Walk-in withdrawal management and harm reduction.,True,False,True,No ID required. Methadone and buprenorphine available.,"If using opioids, ask about same-day suboxone start."
