organization_name,address,lat,lon,hours,phone,requires_id,harm_reduction,bypass_pathway,intake_preparation
Friends of Ruby,"38 Isabella St, Toronto",43.6693,-79.3895,Mon-Fri 9AM-5PM,416-921-7629,False,True,Meals and support for LGBTQ+ youth.,Safe space for queer and trans youth. No ID needed.
Daily Bread Food Bank — Main,"191 New Toronto St, Etobicoke",43.6047,-79.5193,Mon-Sat 9AM-4PM,416-203-0050,False,True,Open to all. No referral needed.,Bring a bag. First visit needs registration with address proof or verbal address.
Second Harvest Hub,1450 Lodestar Rd,43.7277,-79.5219,Mon-Fri 8AM-4PM,416-408-2594,False,True,Community food rescue hub — call first for pickup.,Food rescue donations. Call ahead for individual food access.
Scott Mission Lunch Program,502 Spadina Ave,43.6549,-79.4027,Mon-Sat 11:30AM-1PM,416-923-8872,False,True,Open to all. Line forms at 11AM.,Arrive by 11AM. Lunch served until food runs out.
The Stop Community Food Centre,1884 Davenport Rd,43.6762,-79.4546,Mon-Fri 9AM-4PM,416-652-7867,False,True,Programs include drop-in hot meals and food bank.,Drop-in hot breakfast. Food bank by appointment. Call or walk in.
Regent Park Community Food Centre,585 Dundas St E,43.6594,-79.3609,Mon-Fri 9AM-5PM,416-644-9360,False,True,Open pantry + community meals. All welcome.,Walk in during hours for open pantry access.
Yonge Street Mission Drop-in Lunch,306 Gerrard St E,43.66,-79.379,Mon-Fri 11AM-1PM,416-929-9614,False,True,Lunch served daily at 12PM. No ID needed.,Arrive before 12PM for meal ticket.
Salvation Army Broadview,576 Danforth Ave,43.678,-79.3571,Mon-Fri 9AM-4PM,416-466-5211,False,True,Groceries and hot meals. No ID required.,Walk in. Emergency grocery assistance available.
Church of the Redeemer Food Bank,162 Bloor St W,43.6694,-79.3938,Thu 11AM-1PM,416-922-4948,False,True,Open Thursday only. No registration required.,Arrive by 11AM. Monthly limit applies.
First United Church Food Bank,425 Jarvis St,43.6651,-79.3774,Wed 10AM-12PM,416-921-1621,False,True,Open Wednesday only. Line forms at 9:30AM.,Bring a bag. No ID needed.
Flemingdon Park Food Bank,2 Flemingdon Park Dr,43.7168,-79.3404,Tue-Thu 1PM-4PM,416-696-2525,False,True,Community food bank. Priority to Flemingdon residents.,Bring proof of address if available. Walk-ins welcome.
Fred Victor Drop-in Meals,145 Queen St E,43.6528,-79.375,Mon-Fri 8AM-4PM,416-364-8228,False,True,"Meals served at 8AM, 12PM, 3:30PM. No ID needed.",Drop-in meals served daily. No registration required.
Native Men's Residence Meals,16 Spadina Rd,43.6736,-79.4027,Daily 8AM-7PM,416-920-1950,False,True,Open to all Indigenous community members.,Walk in during meal times.
Anishnawbe Health Food Program,225 Queen St E,43.6531,-79.3716,Mon-Fri 9AM-4PM,416-360-0486,False,True,Priority to Indigenous community. All welcome.,Walk in. Cultural meals served.
Doorsteps Neighbourhood Services,4 Elgin Ave,43.6664,-79.393,Mon-Fri 10AM-4PM,416-924-2891,False,True,Food bank by appointment. Walk-in available.,Call ahead or walk in. Bring bag.
Brixton Hill Community Food Bank,1652 Keele St,43.6843,-79.4748,Mon Wed Fri 10AM-1PM,416-766-3700,False,True,Open three days/week.,Walk in during hours.
Parkdale Activity-Recreation Centre,1499 Queen St W,43.6438,-79.4444,Mon-Fri 9AM-4PM,416-537-2262,False,True,Meals and snacks daily. Drop-in welcome.,Drop-in lunch at 11:30AM. All welcome.
St. Felix Centre,25 Augusta Ave,43.6533,-79.4032,Mon-Fri 8AM-4PM,416-203-1624,False,True,Hot breakfast + lunch daily. No ID needed.,Arrive by 8AM for breakfast.
Dixon Hall Food Bank,58 Sumach St,43.6561,-79.363,Tue Thu 10AM-3PM,416-863-0499,False,True,Open Tuesday and Thursday. Priority to neighbourhood.,Walk in. Bring bag. Monthly limit: 1 visit.
Rexdale Community Foodshare,21 Panorama Ct,43.7443,-79.5671,Mon Tue Thu 10AM-2PM,416-741-7111,False,True,Open three days. Priority to Rexdale community.,Walk in. No ID required.
Malvern Family Resource Centre,1300 Neilson Rd,43.8152,-79.2198,Mon-Fri 9AM-4PM,416-431-4443,False,True,Food bank + hot meals. Scarborough east.,Walk in. Community resource centre.
North York Harvest Food Bank,116 Industry St,43.695,-79.4604,Mon-Fri 9AM-4PM,416-789-8076,False,True,One of Toronto's largest food banks.,First visit requires registration. Subsequent visits faster.
Mississauga Food Bank — Etobicoke,"3660 Hurontario St, Mississauga",43.589,-79.627,Mon-Fri 9AM-4PM,905-270-5589,False,True,"Note: Mississauga location, not Toronto proper.",Call ahead for eligibility.
Community Food Sharing Association,123 Broadview Ave,43.664,-79.3549,Mon-Fri 10AM-2PM,416-461-9220,False,True,Community food sharing. Walk-in welcome.,Walk in during hours.
Cabbagetown Youth Mentorship,323 Parliament St,43.662,-79.3722,Mon-Fri 10AM-5PM,416-963-9224,False,True,Meals for youth (16-24). Referral helpful but not required.,Ask for meal program upon arrival.
Black Creek Community Farm,4929 Jane St,43.7426,-79.5133,May-Oct Mon-Fri 9AM-5PM,416-495-3432,False,True,Community harvest shares. Seasonal May-Oct.,Walk in. Free community produce during harvest season.
FoodShare Toronto,200 Eastern Ave,43.6566,-79.348,Mon-Fri 9AM-4PM,416-363-6441,False,True,Good Food Boxes + community orders. No drop-in.,Order online or call for Good Food Box pickup.
Romero House Meals,1652 Bloor St W,43.6516,-79.4575,Mon-Fri 12PM-1:30PM,416-534-7519,False,True,Lunch served daily. Refugee + newcomer priority.,Walk in during lunch hours.
Artscape Daniels Spectrum Café,585 Dundas St E,43.6594,-79.3609,Mon-Fri 10AM-4PM,416-535-0884,False,True,Community café with pay-what-you-can meals.,Pay-what-you-can. No ID needed.
Agincourt Community Services,4155 Sheppard Ave E,43.7796,-79.2566,Mon-Fri 9AM-4PM,416-321-6912,False,True,Food bank + settlement services. Scarborough.,Walk in. First visit registration required.
Thorncliffe Park Women's Committee,45 Overlea Blvd,43.7046,-79.3474,Mon Wed Fri 10AM-1PM,416-425-4627,False,True,Community food program. Newcomer-friendly.,Walk in. Multilingual staff available.
